,height,search_num,final_win_num,G,PER,WS,TRB,AST,PTS,G_sum,PER_sum,WS_sum,TRB_sum,AST_sum,PTS_sum,Pos_C,Pos_PF,Pos_PF-C,Pos_PG,Pos_PG-SG,Pos_SF,Pos_SF-PF,Pos_SG,Pos_SG-SF,HoF
0,0.336768019,2.856597199,4.194524495,0.9474907309999999,0.432388316,1.759367526,1.9879761740000002,-0.022262023,1.047906942,2.7964672889999997,1.941607766,3.04569858,3.852165452,0.474398804,1.843656559,0,1,0,0,0,0,0,0,0,0
1,-0.41346963200000003,-0.361072611,-0.29995078199999997,-1.669409664,-1.7374952080000001,-0.8709082990000001,-0.8660633609999999,-0.804842539,-0.9795990940000001,-0.9392667309999999,-0.99173942,-0.581366096,-0.633862057,-0.576991172,-0.668092106,1,0,0,0,0,0,0,0,0,0
2,-0.41346963200000003,0.091249388,-0.29995078199999997,0.87770672,-0.19950084199999998,-0.5695225270000001,-0.302969075,0.206228639,0.508820889,-0.544433054,-0.716115035,-0.5362014979999999,-0.503812976,-0.347961361,-0.377646866,0,0,0,0,0,0,0,1,0,0
3,0.872652056,-0.35927872899999996,-0.29995078199999997,-0.378405469,-0.28295790000000004,-0.7339147659999999,-0.7812135370000001,-0.342148949,-0.5795226520000001,-0.740469355,-0.833402007,-0.5639950970000001,-0.608118553,-0.4717806020000001,-0.583719125,0,0,0,1,0,0,0,0,0,0
4,-1.0565304759999998,-0.36164573,-0.29995078199999997,-1.739193675,-0.783700252,-0.8161108859999999,-0.939342755,-0.759144406,-0.9728181370000001,-0.94478888,-0.897909842,-0.574417697,-0.642295274,-0.571265426,-0.667314475,0,0,0,1,0,0,0,0,0,0
5,-0.41346963200000003,-0.356673644,-0.29995078199999997,0.9474907309999999,0.193939577,0.800412798,0.398970379,1.3486819469999998,0.495258975,1.680993125,1.2953565470000001,0.98549805,0.705244008,1.185106936,0.620442736,0,0,0,0,0,0,0,1,0,0
6,-1.592414513,0.267999499,-0.29995078199999997,-1.2855976059999998,-0.974459243,-0.8161108859999999,-0.896917843,-0.667748142,-0.9660371809999999,-0.908894909,-0.916675758,-0.574417697,-0.637412885,-0.5598139360000001,-0.666536844,0,0,0,1,0,0,0,0,0,0
7,-0.41346963200000003,-0.36104623,-0.29995078199999997,-1.6345176590000001,-0.294880337,-0.8161108859999999,-0.920058704,-0.7877057390000001,-0.9524752670000001,-0.9365056559999999,-0.849822183,-0.574417697,-0.640076006,-0.574844017,-0.664981581,0,0,0,0,0,1,0,0,0,0
8,0.658298441,0.8516705729999999,-0.29995078199999997,0.9125987259999999,0.587379997,0.6086218529999999,1.324604823,-0.302163083,0.427449409,1.35242524,1.621414331,0.526903666,0.765164232,-0.201239138,0.228127813,0,1,0,0,0,0,0,0,0,0
9,0.336768019,-0.3611187770000001,-0.29995078199999997,0.7381386990000001,0.539690249,0.22503996199999998,0.090425564,-0.262177217,0.256230254,-0.566521651,-0.585926495,-0.386810903,-0.421700075,-0.462476266,-0.418861317,0,0,0,0,0,1,0,0,0,0
10,0.872652056,-0.36036693,-0.29995078199999997,0.6334626839999999,0.527767812,-0.7339147659999999,0.00171893,-0.650611342,-0.298112952,-0.29869740899999997,-0.175422091,-0.5639950970000001,-0.371544628,-0.5190180010000001,-0.44257906799999996,1,0,0,0,0,0,0,0,0,0
11,-0.41346963200000003,-0.30610860300000003,-0.29995078199999997,-1.2855976059999998,-0.449872018,-0.761313473,-0.920058704,-0.73629534,-0.942303832,-0.8564344909999999,-0.7618569540000001,-0.570943497,-0.636525178,-0.5598139360000001,-0.657982901,0,0,0,0,0,0,0,1,0,0
12,0.658298441,-0.311780435,-0.29995078199999997,0.9125987259999999,0.110482519,0.964805037,0.8039354479999999,-0.296450817,0.057887272000000004,0.742227739,0.305454497,0.290658074,0.49086275799999995,-0.271379518,-0.06562236,0,1,0,0,0,0,0,0,0,0
13,0.336768019,-0.341986237,2.6963660689999998,0.773030705,-0.747932941,-0.788712179,-0.063846843,0.126256907,0.561373303,-0.373246425,-0.6387056329999999,-0.623056495,-0.45632065,-0.38875729600000003,-0.39572679,0,1,0,0,0,0,0,0,0,0
14,0.872652056,-0.358757712,-0.29995078199999997,0.9125987259999999,0.8139062990000001,0.279837375,0.9389238040000001,-0.48495561200000004,-0.24725577699999998,1.0901231470000001,0.9833732,0.085680281,0.9040903840000001,-0.330068407,-0.08525754699999999,1,0,0,0,0,0,0,0,0,0
15,-2.12829855,-0.33611655100000004,-0.29995078199999997,-1.739193675,0.563535123,-0.8161108859999999,-0.9277723240000001,-0.6963094740000001,-0.96773242,-0.9337445809999999,-0.699694858,-0.577891896,-0.640963713,-0.561245372,-0.665564805,0,0,0,1,0,0,0,0,0,0
16,0.122414405,-0.323124099,1.198207644,0.38921864700000003,0.551612686,-0.40513028799999995,-0.441814241,-0.462106546,-0.148931906,-0.602415622,-0.26221445,-0.501459499,-0.531331894,-0.508282228,-0.50751127,0,0,0,0,0,1,0,0,0,0
17,0.336768019,-0.321277456,-0.29995078199999997,-0.169053438,-0.449872018,-0.70651606,-0.306825885,-0.73629534,-0.8066846999999999,-0.29317526,-0.35017968,-0.532727298,-0.349351952,-0.544783854,-0.574193143,0,1,0,0,0,0,0,0,0,0
19,-0.41346963200000003,-0.212127667,-0.29995078199999997,0.6334626839999999,0.0031805859999999996,0.25243866800000003,0.48382020299999995,0.206228639,-0.170970015,0.452314899,0.33594911,-0.008123116,0.053667043,-0.090302823,-0.28394231,0,0,0,0,0,0,0,1,0,0
20,-1.0565304759999998,-0.33011496100000004,-0.29995078199999997,0.80792271,0.241629325,0.08804642900000001,0.449108911,0.8460024909999999,0.693601957,-0.064006063,0.014582805,-0.25479130699999997,-0.207318826,-0.032329652,-0.130943378,0,0,0,0,0,0,0,1,0,0
21,-0.199116017,2.309199469,-0.29995078199999997,0.87770672,0.086637645,0.38943220100000003,0.125136856,0.543252365,1.0462117020000001,0.32254439,0.253848229,-0.015071516,-0.024007322999999997,-0.004416644,0.37160076299999995,0,0,0,0,0,0,0,1,0,0
22,0.872652056,-0.360696687,-0.29995078199999997,0.668354689,-0.008741851,-0.24073804899999998,0.348831846,-0.633474543,-0.013312773,0.10165841699999999,0.050941767,-0.327749505,-0.06794882099999999,-0.487526402,-0.222703856,0,1,0,0,0,0,0,0,0,0
23,0.122414405,0.206005057,-0.29995078199999997,-0.622649506,-0.43794958100000003,-0.761313473,-0.819781639,-0.690597208,-0.752437047,-0.795690848,-0.775931391,-0.574417697,-0.620102598,-0.560529654,-0.632126665,0,0,0,0,0,0,0,1,0,0
24,0.658298441,-0.352802289,-0.29995078199999997,0.9125987259999999,0.503922938,0.827811505,1.251325429,-0.364998015,0.842783003,0.838865352,1.06547408,0.40183247,0.7984532459999999,-0.292851062,0.320665921,0,1,0,0,0,0,0,0,0,0
25,1.944420129,-0.35359370700000003,-0.29995078199999997,-0.44818948,6.4055292260000005,-0.679117353,-0.665509232,-0.7648566729999999,-0.810075178,-0.723902907,0.307800237,-0.546624097,-0.580155781,-0.5648239629999999,-0.633098704,1,0,0,0,0,0,0,0,0,0
26,0.336768019,-0.36051861799999996,-0.29995078199999997,-0.901785548,0.18201714,-0.761313473,-0.83135207,-0.73629534,-0.759218003,-0.7791244,-0.273943148,-0.5605208970000001,-0.617439477,-0.562676808,-0.618712527,0,0,0,0,0,1,0,0,0,0
27,-0.199116017,0.102461149,-0.29995078199999997,0.80792271,0.420465879,0.745615385,0.807792258,0.857427024,1.288630902,0.513058542,0.385209639,-0.0046489159999999995,0.360369824,0.261114793,0.588171042,0,0,0,0,0,1,0,0,0,0
28,1.1941824779999999,-0.356574716,-0.29995078199999997,0.773030705,-0.28295790000000004,-0.487326408,0.344975036,-0.6106254760000001,-0.169274775,-0.38152964899999997,-0.49561552600000003,-0.504933699,-0.310292842,-0.5190180010000001,-0.458909322,1,0,0,0,0,0,0,0,0,0
29,-1.2708840909999999,-0.347526166,-0.29995078199999997,-1.669409664,-0.19950084199999998,-0.788712179,-0.931629134,-0.776281206,-0.9507800279999999,-0.9392667309999999,-0.840439226,-0.570943497,-0.641407567,-0.573412581,-0.664787174,0,0,0,0,0,0,0,1,0,0
30,2.265950551,-0.360769234,-0.29995078199999997,-1.5298416430000001,-1.4036669730000002,-0.843509592,-0.8429225,-0.770568939,-0.960951463,-0.919939208,-0.976492114,-0.588314496,-0.6276481079999999,-0.571981144,-0.6645927660000001,1,0,0,0,0,0,0,0,0,0
31,-0.41346963200000003,-0.348449488,-0.29995078199999997,-1.076245575,0.21778445100000002,-0.8161108859999999,-0.8583497409999999,-0.73629534,-0.871103788,-0.809496222,-0.5906179739999999,-0.581366096,-0.620102598,-0.556951063,-0.639902976,0,0,0,0,0,0,0,1,0,0
32,-0.199116017,-0.340601255,-0.29995078199999997,-1.006461564,-0.712165631,-0.8161108859999999,-0.862206551,-0.7648566729999999,-0.935522876,-0.886806312,-0.8908726240000001,-0.574417697,-0.633418204,-0.571981144,-0.663037503,0,0,0,0,0,1,0,0,0,0
33,-0.199116017,0.16445559099999998,-0.29995078199999997,-0.587757501,-0.211423279,-0.70651606,-0.700220524,-0.742007607,-0.760913242,-0.8536734159999999,-0.841612095,-0.5605208970000001,-0.614776356,-0.569118272,-0.643013501,0,0,0,0,0,1,0,0,0,0
35,-1.0565304759999998,0.105758726,-0.29995078199999997,-1.669409664,-0.6883207570000001,-0.843509592,-0.893061033,-0.7020217409999999,-0.9185704840000001,-0.9337445809999999,-0.943651762,-0.581366096,-0.636969032,-0.564108245,-0.660510202,0,0,0,0,0,0,0,1,0,0
36,-0.735000054,-0.332687071,-0.29995078199999997,-1.9136537009999999,-1.68980546,-0.8161108859999999,-0.950913185,-0.804842539,-0.993161007,-0.958594253,-0.987047942,-0.574417697,-0.643626835,-0.576991172,-0.669647368,0,0,0,0,0,0,0,1,0,0
37,0.336768019,-0.3617044270000001,-0.29995078199999997,-1.2855976059999998,0.551612686,-0.8161108859999999,-0.877633792,-0.7877057390000001,-0.923656202,-0.848151267,-0.758338345,-0.577891896,-0.62542884,-0.571981144,-0.653122706,0,0,0,0,0,1,0,0,0,0
38,0.658298441,0.8648608790000001,-0.29995078199999997,0.110082604,-0.11604378300000001,-0.459927701,-0.252830542,-0.707734008,-0.552398826,-0.679725712,-0.7278437320000001,-0.522304698,-0.521567117,-0.555519627,-0.5843023479999999,0,1,0,0,0,0,0,0,0,0
39,0.872652056,-0.35678576100000003,-0.29995078199999997,0.7381386990000001,0.158172267,0.00585031,0.071141513,0.6232240960000001,0.12908731699999998,-0.549955203,-0.665681636,-0.421552902,-0.473187084,-0.338657025,-0.47154582899999997,1,0,0,0,0,0,0,0,0,0
40,-0.199116017,-0.36163319899999996,-0.29995078199999997,0.42411065200000003,-0.712165631,-0.953104418,-0.515093635,-0.45639428,-0.389655866,-0.7736022509999999,-0.8908726240000001,-0.5917886960000001,-0.593471387,-0.533332364,-0.600438195,0,0,0,0,0,0,0,1,0,0
41,0.122414405,-0.35927872899999996,-0.29995078199999997,0.9125987259999999,0.289319073,0.38943220100000003,1.023773628,1.754252871,0.6224019120000001,0.8278210540000001,0.516571048,0.21769987600000001,0.516162409,0.924585526,0.326109339,0,0,0,0,0,1,0,0,0,0
42,-0.199116017,-0.218063305,-0.29995078199999997,0.9125987259999999,0.420465879,1.540177874,0.206129869,0.6232240960000001,2.1345552430000003,1.355186314,1.046708165,1.3433406380000001,0.43671262899999996,0.847287965,2.159180405,0,0,0,0,0,0,0,1,0,0
43,-1.2708840909999999,-0.200256391,-0.29995078199999997,-0.308621459,-0.497561766,-0.651718647,-0.684793283,-0.5592150770000001,-0.501541651,-0.831584819,-0.8697609690000001,-0.553572497,-0.613000942,-0.546215291,-0.613269109,0,0,0,0,0,0,0,1,0,0
