n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,n_salary
0.605633803,0.195194527,0.428571428,0.827754108,0.597501735,0.387318841,0.580791284,0.09293939,0.336780681,0,3754136.615
0.507042253,3.96E-05,0,0.004260499,0.163601666,0.009057971,0.001261468,0,0.000208404,0,118974
0.507042253,0.027473387,0,0.091296409,0.204371964,0.013768116,0.018061927,0.020245476,0.03912783,0,300000
0.676056338,0.000148401,0,0.048082775,0.187022901,0.010869565,0.004587156,0.009300266,0.011514315,0,267189
0.422535211,4.84E-06,0,0.003043214,0.177480916,0.009782609,0.000172018,0.000506137,0.000312606,0,30000
0.507042253,0.000306402,0,0.581862447,0.501908397,0.172463768,0.174254587,0.155763634,0.172871024,0,2566467.053
0.352112676,0.03819346,0,0.010955569,0.174705066,0.009782609,0.000802752,0.001518411,0.000416808,0,155614
0.507042253,4.12E-05,0,0.004869142,0.184594032,0.009782609,0.000458716,0.000189801,0.000625212,0,102424
0.647887324,0.0735937,0,0.509433962,0.550138792,0.124637681,0.181995413,0.033215235,0.120301144,0,2016724.789
0.605633803,3.68E-05,0,0.086427267,0.223629424,0.029347826,0.028669725,0.010122738,0.033605127,0,0
0.676056338,8.24E-05,0,0.145465612,0.284351145,0.010869565,0.035149083,0.005124636,0.030426967,0,1040000
0.507042253,0.003373223,0,0.022519781,0.197605829,0.010144927,0.000917431,0.001518411,0.001563029,0,140636
0.647887324,0.003029221,0,0.37492392,0.355482304,0.1,0.146559633,0.027015058,0.08093886,0,2071111.111
0.605633803,0.001197208,0.285714286,0.129032258,0.215822346,0.004710145,0.024197248,0.016639251,0.036705135,0,4270301.8
0.676056338,0.000180001,0,0.451612903,0.455759889,0.078623188,0.199942661,0.021827154,0.07830776,0,4343329.722
0.281690141,0.001553211,0,0.005477785,0.206800833,0.00942029,0.000344037,0.001391877,0.00054706,0,350000
0.577464789,0.002341216,0.142857143,0.078514912,0.271512838,0.017391304,0.014506881,0.006073643,0.021726105,0,0
0.605633803,0.002453217,0,0.146682897,0.258501041,0.014130435,0.038016055,0.00284702,0.012790788,0,188450
0.507042253,0.000605204,0,0.673158856,0.835877863,0.567753623,0.366513761,0.205871188,0.684450465,1,0
0.507042253,0.009073262,0,0.311016433,0.35999306,0.06884058,0.090080275,0.043021637,0.051684164,0,975520.7273
0.422535211,0.001917213,0,0.197200243,0.312456627,0.043115942,0.056364679,0.048146274,0.072185896,0,0
0.535211268,0.161994301,0,0.282410225,0.347848716,0.068115942,0.080045872,0.050613691,0.139526402,0,0
0.676056338,6.24E-05,0,0.233718807,0.317834837,0.035507246,0.074369266,0.007908389,0.059890067,0,571555.5556
0.577464789,0.034433434,0,0.035909921,0.195523942,0.009782609,0.003038991,0.001455144,0.005027744,0,0
