n_height,n_search_num,n_final_win_num,n_G_sum,n_PER_sum,n_WS_sum,n_TRB_sum,n_AST_sum,n_PTS_sum,HoF,n_salary
0.336768019,2.856597199,4.194524495,2.796467289,1.941607766,3.04569858,3.852165452,0.474398804,1.843656559,0,3754136.615
-0.413469632,-0.361072611,-0.299950782,-0.939266731,-0.99173942,-0.581366096,-0.633862057,-0.576991172,-0.668092106,0,118974
-0.413469632,0.091249388,-0.299950782,-0.544433054,-0.716115035,-0.536201498,-0.503812976,-0.347961361,-0.377646866,0,300000
0.872652056,-0.359278729,-0.299950782,-0.740469355,-0.833402007,-0.563995097,-0.608118553,-0.471780602,-0.583719125,0,267189
-1.056530476,-0.36164573,-0.299950782,-0.94478888,-0.897909842,-0.574417697,-0.642295274,-0.571265426,-0.667314475,0,30000
-0.413469632,-0.356673644,-0.299950782,1.680993125,1.295356547,0.98549805,0.705244008,1.185106936,0.620442736,0,2566467.053
-1.592414513,0.267999499,-0.299950782,-0.908894909,-0.916675758,-0.574417697,-0.637412885,-0.559813936,-0.666536844,0,155614
-0.413469632,-0.36104623,-0.299950782,-0.936505656,-0.849822183,-0.574417697,-0.640076006,-0.574844017,-0.664981581,0,102424
0.658298441,0.851670573,-0.299950782,1.35242524,1.621414331,0.526903666,0.765164232,-0.201239138,0.228127813,0,2016724.789
0.336768019,-0.361118777,-0.299950782,-0.566521651,-0.585926495,-0.386810903,-0.421700075,-0.462476266,-0.418861317,0,0
0.872652056,-0.36036693,-0.299950782,-0.298697409,-0.175422091,-0.563995097,-0.371544628,-0.519018001,-0.442579068,0,1040000
-0.413469632,-0.306108603,-0.299950782,-0.856434491,-0.761856954,-0.570943497,-0.636525178,-0.559813936,-0.657982901,0,140636
0.658298441,-0.311780435,-0.299950782,0.742227739,0.305454497,0.290658074,0.490862758,-0.271379518,-0.06562236,0,2071111.111
0.336768019,-0.341986237,2.696366069,-0.373246425,-0.638705633,-0.623056495,-0.45632065,-0.388757296,-0.39572679,0,4270301.8
0.872652056,-0.358757712,-0.299950782,1.090123147,0.9833732,0.085680281,0.904090384,-0.330068407,-0.085257547,0,4343329.722
-2.12829855,-0.336116551,-0.299950782,-0.933744581,-0.699694858,-0.577891896,-0.640963713,-0.561245372,-0.665564805,0,350000
